RecordId,Group,File,Format,Bytes,Sha256
D0077,04_production_300k,data/04_production_300k/D0077.json,JSON,2044,18d60e9e43a8ffedd532b75a00ca706eeb49437ed0f92029db841919674c4ffb
D0078,04_production_300k,data/04_production_300k/D0078.json,JSON,8607,30b0152446e4265ec8ba4ee37864e62cf4b99a86bade86c5a0f9ec2612b6b218
D0080,04_production_300k,data/04_production_300k/D0080.json,JSON,154857,95c0b2cae466dc06b44dae33693f72cf56ba60250825159f412f57b4f2c2619a
D0081,04_production_300k,data/04_production_300k/D0081.json,JSON,5668,cd66133ba3ed759062c15517a34668090becb8004be35de5926bc1ea72a8e184
D0082,04_production_300k,data/04_production_300k/D0082.csv,CSV,736,8c737ead02c6d2bfda781bf2725cb48f8132e714299d933fdb627c54ac6e6c20
D0083,04_production_300k,data/04_production_300k/D0083.csv,CSV,559,6b570481887607137d84b7618ddeff04fe057c198357320ca901d60269c43d05
D0084,04_production_300k,data/04_production_300k/D0084.json,JSON,12428,83f43693152ed45079ff68dc6ef223c93a7c089fbf446e7e8e4d2baf2039fe5d
D0085,04_production_300k,data/04_production_300k/D0085.json,JSON,12428,83f43693152ed45079ff68dc6ef223c93a7c089fbf446e7e8e4d2baf2039fe5d
D0086,04_production_300k,data/04_production_300k/D0086.json,JSON,89830,b1dfd686e557934677cc6279fdcab496a53bfad3bc22fb9d9930bcaffbeddf46
D0087,04_production_300k,data/04_production_300k/D0087.json,JSON,15420,465c1683582b87de45e871b6007974a58becc822cc87e73722536dba9fb0fb62
D0088,04_production_300k,data/04_production_300k/D0088.json,JSON,335590,69384efcd5210218f194b9d44a1aad875adbb69b9b93e75139d3a3d02aa685ac
D0089,04_production_300k,data/04_production_300k/D0089.json,JSON,3805,7a9f08b0604c0dbd068defd03eb82fe67071779a9b3272d96f35cdec02ab50cd
D0090,04_production_300k,data/04_production_300k/D0090.json,JSON,1257,31de7a56f435dbeccc1c214bb08dfd3f2b8f848301693135126b378b0c42e487
D0091,04_production_300k,data/04_production_300k/D0091.json,JSON,23114,87301587a01d2f2023d5b0c91fb25831c6d920a9e0ad980f92611a3e5576ddcf
D0092,04_production_300k,data/04_production_300k/D0092.json,JSON,2016,bff683c5eceeb1e7d8157a54623d89fd09a6c236791c4c70e65c581ff5db99fd
D0093,04_production_300k,data/04_production_300k/D0093.json,JSON,2628,e10c37c16800b711e7c4b4a356421e14b21fd80daf53a30867dd2e508beed35d
D0094,04_production_300k,data/04_production_300k/D0094.json,JSON,3993,ed02dabcb46f94b63dc34c6c8b48e91055de54e613ab41d797de3c9437a90648
D0095,04_production_300k,data/04_production_300k/D0095.json,JSON,2652,085387755526765ec0b0705157ce43441b30dd8782a3bee0f9600b50b1a7b4ea
D0096,04_production_300k,data/04_production_300k/D0096.json,JSON,3973,fd65ee2f0037187a27f3540fd497f99528f04ca347906d8a497471aab1d89ee5
D0097,04_production_300k,data/04_production_300k/D0097.json,JSON,2616,34fd4406d77f23cf4cbd14e2f64280961183e6cf2ede149c3c6b8c32123c6e95
D0098,04_production_300k,data/04_production_300k/D0098.json,JSON,3963,d37fc6dfb7fe7aae6d2b51909e75e45256401303f08116f198ebdc40708c4b12
D0099,04_production_300k,data/04_production_300k/D0099.json,JSON,1980,ee3808eb71856039e45b78c76bae9be06e5a9d31891813f7384dfbf5b1be4105
D0100,04_production_300k,data/04_production_300k/D0100.json,JSON,1995,965c279ede574348acc9cfaf9c74989204088d4e69b2bee3003dd4f42263d83a
D0101,04_production_300k,data/04_production_300k/D0101.json,JSON,27905,871030c56bc2e55b4b03f52de5b069549b8c8e89375cfa56a044556f862d20c6
D0102,04_production_300k,data/04_production_300k/D0102.json,JSON,440,9d78b93640467d9bbc691bd8baeb95d8ec7a8191ee0e50849c80950f359b94fa
D0103,04_production_300k,data/04_production_300k/D0103.json,JSON,186066,dd31c85f011eeb6d8e88c49bae47d7dbbd408df0cbc95a1b128369434f1f921c
D0104,04_production_300k,data/04_production_300k/D0104.json,JSON,10921,f842f106f365f94cee3d7ede04b87d6a7a00a4098848901d4be1c22e64222301
D0105,04_production_300k,data/04_production_300k/D0105.json,JSON,1595,a92493a0f8bf404e42f9b2525165df0fe69efa632a4417e31a13aa1f2a77833a
D0106,04_production_300k,data/04_production_300k/D0106.json,JSON,3882,3c6e66e0d18fb80b0f5b1429b36a31c25aeaa6c5a0d4acbc77817db568fb323d
D0107,04_production_300k,data/04_production_300k/D0107.json,JSON,1075,4cb2a9ed2ed6139a5387487f6df243d4f70ed22e5709ae954231c592df970055
D0108,04_production_300k,data/04_production_300k/D0108.json,JSON,6497,1d6718b8af778deb1f3050ce56365d77e15331e3becf48316ac70fa1cd0b53ae
D0109,04_production_300k,data/04_production_300k/D0109.json,JSON,5690,f37c6bb5d1c9d1f415f8f7edb5bb25eb96b08b78491aec4ed8abe2bd86720106
D0110,04_production_300k,data/04_production_300k/D0110.json,JSON,7563,a9909aa4a3f894d9e8ef8a73b3dd470700531601de451e70adf72f5d32232cf3
D0111,04_production_300k,data/04_production_300k/D0111.json,JSON,5758,22a0e89bbc8536a3cfa2e4db72510eb106c2637cfb1d31f308d2febf646730d6
D0112,04_production_300k,data/04_production_300k/D0112.json,JSON,36199,3b9661ceb42b8d93b17d266f9dc544802fa66f8f19eab6e9aaa5def30d7218ef
D0113,04_production_300k,data/04_production_300k/D0113.json,JSON,31197,b6e2b69d3ae10c20272445f8bee6f029e9ee44583eaced2883713995c19cab32
D0114,04_production_300k,data/04_production_300k/D0114.json,JSON,36241,1fa31bb9564ec33980121fccc383e5ac74435b511491ffff82530b60776fe09f
D0115,04_production_300k,data/04_production_300k/D0115.json,JSON,30762,e79cd52804e89dc61119b26ec81aecfe1baa0e0fbd2bc2673cf624e0725d093a
D0116,04_production_300k,data/04_production_300k/D0116.csv,CSV,1202,00b71b3ecdcc4984e722e407f90743a11403b05477e7e6c1950b1b0cdf03eb3b
D0117,04_production_300k,data/04_production_300k/D0117.csv,CSV,4583,62d92511f30b79e2bd59cf6f405536f5668ec6b801dad598d2743fa3d291c1e1
D0118,04_production_300k,data/04_production_300k/D0118.csv,CSV,6662,e551de05482c90a827baea779c006816f8a104d07c290e8d6f1704f7931bbcb4
D0119,04_production_300k,data/04_production_300k/D0119.csv,CSV,937,7f688fc890c0b8ce3332246890944ae200cffc75feb3406db94d2256200d9df2
