EnergyError,RelativeEnergyErrorToReducedState,GoalCorrection,OmittedSchurMinimumEigenvalue,ScaledKernelCoercivity,RetainedKernelCoercivity,ReferenceResidualInfinityNorm,ErrorEnergyIdentityDefect,KktUnknowns,CertificateClass,IndependentPhysicalAccuracyCertified,OnlineSpeedupDemonstrated,Stage,RestrictionLiftPowerDefect,SharedAssemblySeconds,CertificateSeconds,RetainedConstraintCount,PhysicalEquilibriumResidual,RelativeEnergyBudgetMet,JacobianNnz,Geometry,WidthRatio
7.340836703483772e-05,0.053522351603370724,5.388767301519196e-06,0.5324169023207228,1.9104760722385425e-06,1.9054661470731986e-06,2.3921057463408696e-16,3.430731638975035e-13,177,exact-shared-linear-tangent-omitted-constraint-correction,False,False,without-width-stretch,0.0,1.9873997000004238,0.005170000000362052,33,1.0935733426912933e-13,False,2374,flat,0.02
0.0,0.0,0.0,,1.9104760722385425e-06,1.9104760722385425e-06,3.16236362725604e-16,0.0,180,exact-shared-linear-tangent-omitted-constraint-correction,False,False,full-affine,0.0,1.9873997000004238,0.007109199999831617,36,1.1564139907661925e-13,True,2448,flat,0.02
0.00011017009084314294,0.1220064838076069,1.228265604871796e-05,0.002624236833894029,4.162780687092915e-06,4.09321408030939e-06,2.568119192780313e-16,1.1163151768512278e-13,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,0.0,2.2066836000003605,0.00713629999972909,18,8.165698994013484e-14,False,2132,flat,0.04
9.187633921014417e-05,0.10197869905177333,8.589075680060744e-06,0.3954975106419864,4.162780687092915e-06,4.119749883765776e-06,1.618557142425616e-16,1.920653637980758e-13,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,5.204170427930421e-18,2.2066836000003605,0.006726599999637983,21,6.078718767608049e-14,False,2182,flat,0.04
8.715650892270849e-05,0.09679028962323115,7.679159931644348e-06,0.3955225167247083,4.162780687092915e-06,4.127722788751007e-06,1.406532090233656e-16,6.402919189460868e-14,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,6.938893903907228e-18,2.2066836000003605,0.00862059999963094,24,4.4958201198837743e-14,False,2270,flat,0.04
8.239892901891789e-05,0.0915523863301297,6.862804805755023e-06,0.8561707627085996,4.162780687092915e-06,4.132654632373579e-06,8.791354959552383e-17,1.949293324707589e-15,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,0.0,2.2066836000003605,0.008043299999371811,27,4.783528445962792e-14,False,2346,flat,0.04
7.917560288489553e-05,0.08799928414572321,6.2687284496481394e-06,0.5737277410294637,4.162780687092915e-06,4.135564027282921e-06,1.3887613390002607e-16,4.4718698749445325e-13,177,exact-shared-linear-tangent-omitted-constraint-correction,False,False,without-width-stretch,1.0408340855860843e-17,2.2066836000003605,0.0070468999992954195,33,5.244800817670318e-14,False,2384,flat,0.04
0.0,0.0,0.0,,4.162780687092915e-06,4.162780687092915e-06,1.1695153309329576e-16,0.0,180,exact-shared-linear-tangent-omitted-constraint-correction,False,False,full-affine,0.0,2.2066836000003605,0.006218300000000454,36,5.035400452699962e-14,True,2460,flat,0.04
0.00012262599720037166,0.07185359657438686,1.5134406948224936e-05,0.002161505209578514,1.2292901379551725e-06,1.2239571702565357e-06,2.5779955969452983e-16,3.7538270614513987e-13,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,0.0,2.6244174000003113,0.005870199999662873,18,1.0274456249536967e-13,False,4542,single-curvature,0.01
9.747612223580741e-05,0.05717119986999572,9.600788085676268e-06,0.2938290653158938,1.2292901379551725e-06,1.2255869540368223e-06,5.089217469076172e-16,1.4625581451809059e-12,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,4.336808689942018e-19,2.6244174000003113,0.00611879999996745,21,1.4971554290931e-13,False,4652,single-curvature,0.01
