Case,Method,TimeStepS,FoldedAngleRad,ReleaseTimeS,CablePretensionN,TrajectoryRelativeError,EventTimeS,EventTimeRelativeError,EventCount,ReferenceEventCount,MissedEventCount,SimultaneousEventCount,GrazingEventCount,NormalImpulse,ImpulseRelativeError,PostimpactNormalVelocity,PostimpactVelocityRelativeError,MaximumConstraintDrift,MaximumRelativeEnergyBalanceError,MaximumImpactMomentumDefect,MaximumImpactRestitutionDefect,RelativeGlobalMomentumBalanceError,PeakInterfaceMomentNm,RuntimeSeconds,AllStepsConverged
repeated-impact,average-acceleration-newmark,0.0125,0.76,0.02,19.70998632374672,0.015402782203839097,0.2950000000000001,0.007962297220908033,2,2,0,0,0,0.10350393183107934,0.0041836517268837034,1.864684364762558,0.004183651726883579,0.008437318651382973,0.013602822333847929,1.387811021871568e-17,2.220446049250313e-16,0.0022264119748278285,0.003623852899981645,0.31649820000166073,True
repeated-impact,average-acceleration-newmark,0.00625,0.76,0.02,19.70998632374672,0.015466868692889942,0.295,0.007962297220907653,2,2,0,0,0,0.10347872278641754,0.004426189168258756,1.8642302089580407,0.004426189168258537,0.00891210563638267,0.014428279542331146,1.387797677367705e-17,4.440892098500626e-16,0.0011812755822846297,0.0040304868663484485,0.6302738000013051,True
repeated-impact,average-acceleration-newmark,0.003125,0.76,0.02,19.70998632374672,0.010452262684019123,0.2949999999999995,0.007962297220905946,2,2,0,0,0,0.1034733561082825,0.004477822238889498,1.8641335250868862,0.004477822238889346,0.009030849952641883,0.009542859077781036,1.387801511260033e-17,2.220446049250313e-16,0.0003902184615637452,0.0037136310788872624,0.8988028999956441,True
repeated-impact,average-acceleration-newmark,0.0015625,0.76,0.02,19.70998632374672,0.004962049730383299,0.29343749999999996,0.0026235138669832786,2,2,0,0,0,0.10378810003239707,0.0014496556793384976,1.8698038224738327,0.0014496556793383213,0.0029832736609339875,0.004688060494218318,6.93934461546152e-18,2.220446049250313e-16,0.00010006819508011579,0.003985798504604959,1.5497391000026255,True
repeated-impact,generalized-alpha-end-detection,0.0125,0.76,0.02,19.70998632374672,0.015599308096679846,0.2950000000000001,0.007962297220908033,2,2,0,0,0,0.10350506037735324,0.004172793928445954,1.8647046961891482,0.004172793928445977,0.008349542555976065,0.013819049884246485,2.775592490983174e-17,4.440892098500626e-16,0.0016136609343104986,0.003581328352255185,0.3388883000006899,True
repeated-impact,generalized-alpha-end-detection,0.00625,0.76,0.02,19.70998632374672,0.015533188290238005,0.295,0.007962297220907653,2,2,0,0,0,0.10347911239256082,0.004422440748657683,1.864237227942449,0.004422440748657772,0.008890092159531175,0.014592707066717303,4.163348709968595e-17,4.440892098500626e-16,0.0010726032019904809,0.003881829095872889,0.5737116999953287,True
repeated-impact,generalized-alpha-end-detection,0.003125,0.76,0.02,19.70998632374672,0.010438727950938276,0.2949999999999995,0.007962297220905946,2,2,0,0,0,0.10347341642916684,0.004477241888735562,1.8641346118031867,0.004477241888735495,0.009025322893712155,0.00955319101161121,2.7755834383013894e-17,2.220446049250313e-16,0.00035555476904338464,0.0035954080132483725,0.8453807000041706,True
repeated-impact,generalized-alpha-end-detection,0.0015625,0.76,0.02,19.70998632374672,0.004958526565562424,0.29343749999999996,0.0026235138669832786,2,2,0,0,0,0.10378811375240349,0.0014495236784912607,1.8698040696478384,0.0014495236784912058,0.0029818936878728674,0.004690795756894016,1.3877873633999965e-17,2.220446049250313e-16,8.821127636035601e-05,0.003934392662224488,1.4111881999997422,True
repeated-impact,step-end-velocity-projection,0.0125,0.76,0.02,19.70998632374672,0.5277673016118332,0.2950000000000001,0.007962297220908033,1,2,1,0,0,0.06993508907505361,0.3271511160316782,0.0,1.0,0.008437318651382973,0.9257674074183204,7.165443163745094e-20,0.0,0.003053355471885969,0.0026470197709773675,0.3233500999995158,True
repeated-impact,step-end-velocity-projection,0.00625,0.76,0.02,19.70998632374672,0.5275928930545639,0.295,0.007962297220907653,1,2,1,0,0,0.0699180559367686,0.32731499268125597,0.0,1.0,0.00891210563638267,0.9257649683750216,1.3878031449140235e-17,0.0,0.0016112718325401905,0.0027506174341846404,0.5539988000018639,True
